#Acceptor              DonorH          Donor   Frames         Frac      AvgDist       AvgAng
ULL_15@O            ULL_8@H27        ULL_8@N   167915       0.5597       2.8483     158.8639
ULL_16@O           ULL_19@H27       ULL_19@N   134371       0.4479       2.8401     156.5328
ULL_5@O               ULL_5@H       ULL_5@N1    85977       0.2866       2.8117     149.4935
ULL_15@O              ULL_8@H       ULL_8@N1    78129       0.2604       2.8992     164.4789
ULL_11@O1          ULL_10@H27       ULL_10@N    74782       0.2493       2.8609     157.4169
ULL_16@O             ULL_19@H      ULL_19@N1    45250       0.1508       2.8912     163.9587
ULL_8@O2           ALP_20@H22      ALP_20@O2    40966       0.1366       2.6118     165.7074
ULL_14@O             ULL_14@H      ULL_14@N1    36248       0.1208       2.8377     149.3352
ULL_1@O             ULL_5@H27        ULL_5@N    29789       0.0993       2.8398     160.8086
ULL_8@O2           ALP_20@H13      ALP_20@N1    20438       0.0681       2.7615     159.2550
ULL_8@O               ULL_1@H       ULL_1@N1    19791       0.0660       2.8756     162.3070
ULL_7@O1            ULL_4@H27        ULL_4@N    19052       0.0635       2.8667     161.8696
ULL_15@O2          ALP_20@H22      ALP_20@O2    18303       0.0610       2.6117     165.5629
ULL_15@O2          ALP_20@H14      ALP_20@N1    15875       0.0529       2.7741     159.3305
ULL_15@O           ULL_18@H27       ULL_18@N    15659       0.0522       2.8616     161.2313
ULL_1@O3           ULL_14@H27       ULL_14@N    15319       0.0511       2.8413     159.5231
ULL_9@O1            ULL_6@H27        ULL_6@N    14084       0.0469       2.8459     159.0703
ULL_1@O               ULL_8@H       ULL_8@N1    12459       0.0415       2.8662     160.8110
ULL_11@O1          ULL_13@H27       ULL_13@N    11659       0.0389       2.8752     162.3395
ULL_12@O           ALP_20@H22      ALP_20@O2    11353       0.0378       2.6670     162.1505
ULL_8@O1           ALP_20@H14      ALP_20@N1    11223       0.0374       2.8026     158.5399
ULL_3@O2            ULL_7@H27        ULL_7@N    11037       0.0368       2.8219     159.5721
ULL_18@O            ULL_8@H27        ULL_8@N    10985       0.0366       2.8922     163.1870
ULL_6@O               ULL_9@H       ULL_9@N1    10600       0.0353       2.8841     162.8468
ULL_19@O           ALP_20@H14      ALP_20@N1    10192       0.0340       2.8101     157.8101
ULL_4@O3           ULL_14@H27       ULL_14@N    10181       0.0339       2.8258     160.3590
ULL_7@O3            ULL_3@H27        ULL_3@N    10129       0.0338       2.8190     158.3927
ULL_8@O2           ALP_20@H14      ALP_20@N1     9625       0.0321       2.7674     159.3328
ULL_15@O3          ALP_20@H14      ALP_20@N1     9278       0.0309       2.7973     160.2252
ULL_1@O2           ULL_14@H27       ULL_14@N     9181       0.0306       2.8527     159.9810
ULL_17@O2          ALP_20@H13      ALP_20@N1     9034       0.0301       2.7716     161.6220
ULL_12@O           ULL_15@H27       ULL_15@N     8499       0.0283       2.8681     160.6905
ULL_11@O3          ULL_13@H27       ULL_13@N     8194       0.0273       2.8345     161.6724
ULL_12@O           ALP_20@H13      ALP_20@N1     7316       0.0244       2.7948     162.4224
ULL_3@O2              ULL_7@H       ULL_7@N1     7310       0.0244       2.8628     161.2868
ULL_9@O1              ULL_6@H       ULL_6@N1     7290       0.0243       2.8931     162.3277
ULL_8@O              ULL_18@H      ULL_18@N1     6908       0.0230       2.8804     156.2195
ULL_11@O2          ULL_14@H27       ULL_14@N     6705       0.0223       2.8553     156.9223
ULL_10@O             ULL_10@H      ULL_10@N1     6464       0.0215       2.8645     147.7696
ULL_18@O           ALP_20@H14      ALP_20@N1     6382       0.0213       2.7861     162.2772
ULL_7@O               ULL_7@H       ULL_7@N1     5907       0.0197       2.8442     148.8540
ULL_18@O           ALP_20@H22      ALP_20@O2     5899       0.0197       2.6978     160.7315
ULL_19@O1          ULL_12@H27       ULL_12@N     5850       0.0195       2.8816     159.5384
ULL_9@O            ULL_12@H27       ULL_12@N     5750       0.0192       2.8290     157.4691
ULL_7@O2            ULL_3@H27        ULL_3@N     5641       0.0188       2.8213     159.7918
ULL_2@O               ULL_2@H       ULL_2@N1     5631       0.0188       2.8455     147.5808
ULL_6@O1            ULL_2@H27        ULL_2@N     5389       0.0180       2.8704     159.4076
ULL_3@O               ULL_3@H       ULL_3@N1     5324       0.0177       2.8574     147.6668
ULL_7@O3              ULL_3@H       ULL_3@N1     5116       0.0171       2.8656     162.7450
ULL_7@O            ULL_14@H27       ULL_14@N     5100       0.0170       2.8745     162.3262
ULL_15@O2          ALP_20@H13      ALP_20@N1     5031       0.0168       2.7670     161.0835
ULL_17@O2          ALP_20@H22      ALP_20@O2     4924       0.0164       2.6160     165.6372
ULL_12@O1          ALP_20@H13      ALP_20@N1     4796       0.0160       2.8133     162.2318
ULL_15@O3          ALP_20@H22      ALP_20@O2     4761       0.0159       2.6109     165.7728
ULL_17@O2          ALP_20@H14      ALP_20@N1     4707       0.0157       2.7637     163.2435
ULL_6@O               ULL_6@H       ULL_6@N1     4681       0.0156       2.8579     148.0491
ULL_1@O2            ULL_4@H27        ULL_4@N     4442       0.0148       2.8322     162.7177
ULL_11@O3            ULL_13@H      ULL_13@N1     4402       0.0147       2.8831     161.0210
ULL_18@O           ALP_20@H13      ALP_20@N1     4337       0.0145       2.7950     161.0468
ULL_18@O3          ALP_20@H22      ALP_20@O2     4113       0.0137       2.6070     166.6566
ULL_18@O             ULL_18@H      ULL_18@N1     4028       0.0134       2.8676     146.7245
ULL_17@O3          ALP_20@H13      ALP_20@N1     4001       0.0133       2.7913     161.5098
ULL_4@O2           ULL_14@H27       ULL_14@N     3956       0.0132       2.8365     159.3114
ULL_12@O             ULL_12@H      ULL_12@N1     3909       0.0130       2.8591     147.2683
ULL_11@O2          ULL_13@H27       ULL_13@N     3632       0.0121       2.8333     163.4905
ULL_3@O3            ULL_7@H27        ULL_7@N     3588       0.0120       2.8256     156.4519
ULL_8@O            ULL_18@H27       ULL_18@N     3527       0.0118       2.8449     155.6164
ULL_6@O             ULL_2@H27        ULL_2@N     3262       0.0109       2.8570     161.8539
ULL_1@O2           ULL_11@H27       ULL_11@N     3095       0.0103       2.8494     158.8428
ULL_11@O           ULL_10@H27       ULL_10@N     3077       0.0103       2.8751     162.6213
ULL_8@O3           ALP_20@H22      ALP_20@O2     2768       0.0092       2.6396     164.1171
ULL_7@O             ULL_4@H27        ULL_4@N     2514       0.0084       2.8657     162.8801
ULL_11@O2            ULL_14@H      ULL_14@N1     2340       0.0078       2.8829     150.2329
ULL_4@O3             ULL_14@H      ULL_14@N1     2337       0.0078       2.8880     161.2600
